role,skills
Data Scientist,"Python, SQL, ML, Data Analysis, Statistics, R"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Linux, Bash"
Backend Developer,"Java, Python, SQL, APIs, Node.js, Django"
Frontend Developer,"HTML, CSS, JavaScript, React, Angular, Vue"
Cloud Architect,"AWS, Azure, GCP, Cloud Computing, Automation, Security"
Full Stack Developer,"JavaScript, React, Node.js, SQL, MongoDB, Express"
Mobile App Developer,"Swift, Kotlin, React Native, Flutter, iOS, Android"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, ML, Deep Learning, Algorithms"
Database Administrator,"SQL, Oracle, MySQL, PostgreSQL, Database Design, Optimization"
Cybersecurity Analyst,"Security, Networking, Linux, Firewalls, Penetration Testing, Python"
